Type,Prompt,Correct Answer,Choices
mcq,"What is ""chamber music ensembles""?","Specific small groupings (like the string quartet) adhering to the ""one player per part"" rule.","The nay, an end-blown reed flute, is a melodic
  instrument used in Arab Takht Ensembles. | A key concept often linked to a Leitmotif, which is
  intrinsically associated with a specific character or idea. | Alterations in dynamics or tempo (e.g., crescendo, rubato) employed specifically to convey emotional effect. | Specific small groupings (like the string quartet) adhering to the ""one player per part"" rule."
mcq,"Which term means: ""Specific small groupings (like the string quartet) adhering to the ""one player per part"" rule.""?","chamber music ensembles","chamber music ensembles | Roland TR808 | DECORATED | construction materials"
mcq,"What is ""chance elements""?","Unpredictable or random musical parameters sometimes included in compositional techniques such as Aleatoric Writing.","Abbreviation for Opus 6, part of the title for Handel's
  and Corelli's Concerto Grosso works. | Unpredictable or random musical parameters sometimes included in compositional techniques such as Aleatoric Writing. | Refers to small or transient occurrences, specifically
  cited regarding chromatic harmony found in Baroque bass lines. | A structural form, such as the organization of pieces in
  Arab Takht Ensembles (a series of pieces in the same maqām..."
mcq,"Which term means: ""Unpredictable or random musical parameters sometimes included in compositional techniques such as Aleatoric Writing.""?","chance elements","chance elements | modal scales | disjunct | descending"
mcq,"What is ""Chanting to Paradise""?","A compositional work by Libby Larsen used as a starting point for the study of Art Song in AOS 4.","Multiple instruments or voices performing the same melodic line separated by an octave, a technique used to add power... | A compositional work by Libby Larsen used as a starting point for the study of Art Song in AOS 4. | A short, recurring musical motif, often instrumental,
  designed to ensure memorability, especially in popular song a... | A song structure where the music continuously changes and
  develops, avoiding repetition to follow the evolving text..."
mcq,"Which term means: ""A compositional work by Libby Larsen used as a starting point for the study of Art Song in AOS 4.""?","Chanting to Paradise","sonata form | multi-tracking | Franz Liszt | Chanting to Paradise"
mcq,"What is ""Chopin""?","Abbreviated name for Fr“d”ric Chopin, a central figure in Romantic piano music and virtuosity.","Refers to rhythmic organization, such as regular metres
  (duple, triple, quadruple) or the regular, balanced phrases... | A percussion technique, specifically rapid repetition of a
  note, required for the syllabus. | Abbreviated name for Fr“d”ric Chopin, a central figure in Romantic piano music and virtuosity. | A composer and virtuoso pianist associated with the Romantic period."
mcq,"Which term means: ""Abbreviated name for Fr“d”ric Chopin, a central figure in Romantic piano music and virtuosity.""?","Chopin","Chopin | simple harmonic progressions | formal clarity | Polyphony"
mcq,"What is ""Chorales""?","A type of sacred vocal form prevalent in the Baroque era.","A type of bass line (often moving stepwise) used in Art
  Song, such as by Ralph Vaughan Williams, to portray specifi... | A plucked, stringed instrument, used as a chordal instrument in the Basso Continuo. | A type of sacred vocal form prevalent in the Baroque era. | Synonymous with homophonic texture."
mcq,"Which term means: ""A type of sacred vocal form prevalent in the Baroque era.""?","Chorales","Concerto | tāla | Chorales | emotional expression"
mcq,"What is ""chord inversions""?","The rearrangement of the notes in a chord so that a note other than the root is in the bass, utilized by pianists in ...","The defining texture in Chinese and Arab ensembles, where multiple musicians play simultaneous, slightly ornamented v... | The rearrangement of the notes in a chord so that a note other than the root is in the bass, utilized by pianists in ... | The slight, rapid fluctuation of pitch, used as a general
  expressive technique in vocal and instrumental performanc... | Abbreviation for ** applicable in a subsequent musical period, such as ripieno, concertino, and basso continuo in the..."
mcq,"Which term means: ""The rearrangement of the notes in a chord so that a note other than the root is in the bass, utilized by pianists in the Salsa montuno pattern.""?","chord inversions","chord inversions | Hindustani Classical Music | qanun | Don Juan (1926)"
mcq,"What is ""chordal accompaniment""?","The harmonic support provided by chords.","The harmonic support provided by chords. | The conversational exchange of thematic material between instruments in chamber music, highly valued in the Classical... | Sections (short and long) into which the beats (mātrās)
  of the rhythmic cycle (tāla) are divided in Hindustani clas... | The singular feeling or ""affection"" sustained throughout a Baroque movement."
mcq,"Which term means: ""The harmonic support provided by chords.""?","chordal accompaniment","Pentatonic | homophony | folk songs | chordal accompaniment"
mcq,"What is ""chordal instrument""?","The instrument (e.g., harpsichord, organ, or lute) that improvises the harmony in the Basso Continuo.","A compositional tool, such as the sequence, used to expand or generate musical ideas within a section like the develo... | Describing harmony that is clashing or unstable. | Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass... | The instrument (e.g., harpsichord, organ, or lute) that improvises the harmony in the Basso Continuo."
mcq,"Which term means: ""The instrument (e.g., harpsichord, organ, or lute) that improvises the harmony in the Basso Continuo.""?","chordal instrument","passing a melody rapidly between different
  instrumental parts | unaccompanied melodic line | chordal instrument | faster main section"
mcq,"What is ""chords""?","The vertical stacking of pitches (harmony) that supports or contrasts the melody.","Maintaining a steady, unchanging quality, essential for tempo in dance music to support the movement activity. | The title of Arcangelo Corelli’s Concerto Grosso in G
  minor, cited as a wider listening example for Baroque music. | The vertical stacking of pitches (harmony) that supports or contrasts the melody. | Instrumental music that tells a story, describes a
  specific scene, or suggests extra-musical ideas without using wo..."
mcq,"Which term means: ""The vertical stacking of pitches (harmony) that supports or contrasts the melody.""?","chords","Musicology | cuatro (small Puerto Rican lute-like folk instrument) | chords | single"
mcq,"What is ""chorus""?","The most recognizable, catchy, and frequently repeating section of a song (often referred to as the refrain).","The most recognizable, catchy, and frequently repeating section of a song (often referred to as the refrain). | Refers to rhythmic organization, such as regular metres
  (duple, triple, quadruple) or the regular, balanced phrases... | The combination of multiple melodic or rhythmic parts, defining the texture. | A starting point (non-prescribed set work) for studying
  Computer Game Music, demonstrating the blend of orchestral ..."
mcq,"Which term means: ""The most recognizable, catchy, and frequently repeating section of a song (often referred to as the refrain).""?","chorus","chromatic harmony | polyrhythm | excitement | chorus"
mcq,"What is ""chorus sections""?","Plural term for the main returning sections in song structure, known as the montuno section in Salsa.","A 20th-century compositional technique involving simple patterns, repetition, and static harmony, noted as a techniqu... | Plural term for the main returning sections in song structure, known as the montuno section in Salsa. | The plural term for “q”', the rhythmic modes of Arabic music, consisting of a succession of beats that defines the rh... | A significant composer associated with the Romantic Music period."
mcq,"Which term means: ""Plural term for the main returning sections in song structure, known as the montuno section in Salsa.""?","chorus sections","suspensions | chorus sections | Tango | organisation"
mcq,"What is ""chromatic""?","Relating to the chromatic scale (built entirely of semitones) or chromatic harmony (using notes outside the main key).","Sliding between notes. | Sections within a solo concerto (like Vivaldi’s Spring)
  where a single instrument takes the lead, often featuring h... | A rapid alternation between two notes, a fundamental ornament
  required across all historical periods. | Relating to the chromatic scale (built entirely of semitones) or chromatic harmony (using notes outside the main key)."
mcq,"Which term means: ""Relating to the chromatic scale (built entirely of semitones) or chromatic harmony (using notes outside the main key).""?","chromatic","dance form | chromatic | clarinet | verse"
mcq,"What is ""chromatic enrichment""?","The addition of non-diatonic (chromatic) notes to simple harmony, used in Tango to enhance emotional depth.","The addition of non-diatonic (chromatic) notes to simple harmony, used in Tango to enhance emotional depth. | The largest string instruments, forming the foundation of the string section and serving as bass line instruments in ... | A plucked lute with four strings and frets, classified as
  a Silk Instrument in Chinese ensembles. | Abbreviated name for Fr“d”ric Chopin, a central figure in Romantic piano music and virtuosity."
mcq,"Which term means: ""The addition of non-diatonic (chromatic) notes to simple harmony, used in Tango to enhance emotional depth.""?","chromatic enrichment","chromatic enrichment | mute | regular | polytonality"
mcq,"What is ""chromatic harmony""?","Harmony that utilizes notes lying outside the defined major or minor scale, often employed dramatically in the Romant...","Abbreviation for Movement 2. | Harmony that utilizes notes lying outside the defined major or minor scale, often employed dramatically in the Romant... | The characteristic nature of a recurring theme (leitmotif)
  that links it to a specific character or idea. | An Italian dynamic marking meaning gradually getting quieter; synonymous with decrescendo."
mcq,"Which term means: ""Harmony that utilizes notes lying outside the defined major or minor scale, often employed dramatically in the Romantic and Modern periods to creat...""?","chromatic harmony","consonant | programme music | chromatic harmony | Motivic Construction"
mcq,"What is ""chromatic scales""?","Scales consisting entirely of semitones, spanning an octave, required knowledge in the syllabus (AOS 3 onwards).","Wind instruments like the sheng in Chinese Sizhu
  ensembles are classified as mouth organs. | Scales consisting entirely of semitones, spanning an octave, required knowledge in the syllabus (AOS 3 onwards). | A descriptive term for notes or chords that are dissonant (unstable or grating). | Individual notes within a scale, which can be represented
  by numbers (cipher notation) in some non-Western systems."
mcq,"Which term means: ""Scales consisting entirely of semitones, spanning an octave, required knowledge in the syllabus (AOS 3 onwards).""?","chromatic scales","chromatic scales | rapid bowing | oboes | majestic opening section"
mcq,"What is ""chromaticism""?","The compositional practice of using notes outside the established diatonic key, highly valued in the Romantic era for...","The human sound source, classified as soprano, alto,
  tenor, and bass. | The compositional practice of using notes outside the established diatonic key, highly valued in the Romantic era for... | Brass instruments, used in small numbers in the Baroque
  era and prominently in the expanded Romantic orchestra, oft... | Strings played using a mute, typically for atmospheric,
  distant, or veiled effects."
mcq,"Which term means: ""The compositional practice of using notes outside the established diatonic key, highly valued in the Romantic era for emotional intensity.""?","chromaticism","chromaticism | SATB | harpsichord | ya layli"
mcq,"What is ""CHURCH""?","One of the primary performance contexts in the Baroque period, where sacred genres like Oratorios and Masses were per...","One of the primary performance contexts in the Baroque period, where sacred genres like Oratorios and Masses were per... | A musical structure defined by the characteristics of a specific dance (e.g., minuet, polka, waltz). | A film scoring technique where rhythmic patterns directly mirror the visual pacing of the action on screen, sometimes... | Intervals of an octave. Textures may include parts doubled
  in octaves to provide power."
mcq,"Which term means: ""One of the primary performance contexts in the Baroque period, where sacred genres like Oratorios and Masses were performed.""?","CHURCH","voices | Leitmotifs | CHURCH | musical mood"
mcq,"What is ""cipher notation""?","A non-Western notation system that uses numbers 1–7 to represent scale degrees, commonly used for pentatonic melodies...","The harmonic support provided by chords. | Recorded portions of music or sound incorporated into a
  composition, fundamental to EDM, hip-hop, and game music. | A non-Western notation system that uses numbers 1–7 to represent scale degrees, commonly used for pentatonic melodies... | The process of manipulating, transforming, or expanding an existing musical idea."
mcq,"Which term means: ""A non-Western notation system that uses numbers 1–7 to represent scale degrees, commonly used for pentatonic melodies (e.g., in Chinese music).""?","cipher notation","cipher notation | pp | songs from musicals | unaccompanied solo writing"
mcq,"What is ""Clara Schumann""?","A significant composer associated with the Romantic Music period.","Terms such as ripieno, concertino, and basso
  continuo are considered obsolete for describing the standard Classical... | A significant composer associated with the Romantic Music period. | A Baroque shorthand notation system using numbers (figures) placed below a written bass line to indicate the chords t... | The massive growth in size, range, and capability of the orchestra during the Romantic period (c. 1810–1900), marked ..."
mcq,"Which term means: ""A significant composer associated with the Romantic Music period.""?","Clara Schumann","plucked lutes | Clara Schumann | passing a melody rapidly between different
  instrumental parts | musical identity"
mcq,"What is ""clarinet""?","A woodwind instrument used in the Classical orchestra (often as a transposing instrument) and notably featured in Moz...","Short musical ideas (motifs) that are frequently repeated,
  contributing to melodic construction in Classical music. | The speed of dance music, typically consistent and referred to in BPM. | A woodwind instrument used in the Classical orchestra (often as a transposing instrument) and notably featured in Moz... | Refers to the use of numbers 1–7 to represent scale
  degrees in notation systems like cipher notation, commonly used..."
